# packages in environment at /export/scratch1/poulami/miniconda3/envs/impl-filters:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       0_gnu    conda-forge
astra-toolbox             1.9.0.dev10         np115py36_0    astra-toolbox/label/dev
attrs                     19.3.0                     py_0    conda-forge
backcall                  0.1.0                    py36_0    anaconda
bleach                    3.1.1                      py_0    conda-forge
bzip2                     1.0.8                h516909a_2    conda-forge
ca-certificates           2020.12.5            ha878542_0    conda-forge
cached-property           1.5.1                      py_0    conda-forge
cairo                     1.16.0            hfb77d84_1002    conda-forge
certifi                   2020.12.5        py36h5fab9bb_1    conda-forge
cftime                    1.1.3            py36h785e9b2_0    conda-forge
cloudpickle               1.3.0                      py_0    conda-forge
cudatoolkit               10.0.130                      0  
curl                      7.69.1               h33f0ec9_0    conda-forge
cycler                    0.10.0                     py_2    conda-forge
cytoolz                   0.10.1           py36h516909a_0    conda-forge
dask-core                 2.12.0                     py_0    conda-forge
dbus                      1.13.6               he372182_0    conda-forge
decorator                 4.4.2                      py_0    anaconda
defusedxml                0.6.0                      py_0    conda-forge
dxchange                  0.1.5                   py_1001    conda-forge
dxfile                    0.5                        py_1    conda-forge
edffile                   5.0.0           pyh24bf2e0_1000    conda-forge
entrypoints               0.3             py36h9f0ad1d_1001    conda-forge
expat                     2.2.9                he1b5a44_2    conda-forge
ffmpeg                    4.1.3                h167e202_0    conda-forge
foam_ct_phantom           1.1.2            py36h8c4c3a4_0    conda-forge
fontconfig                2.13.1            h86ecdb6_1001    conda-forge
freetype                  2.10.0               he983fc9_1    conda-forge
future                    0.18.2           py36h9f0ad1d_1    conda-forge
gettext                   0.19.8.1          hc5be6a0_1002    conda-forge
giflib                    5.2.1                h516909a_2    conda-forge
glib                      2.58.3          py36hd3ed26a_1003    conda-forge
gmp                       6.2.0                he1b5a44_2    conda-forge
gnutls                    3.6.5             hd3a4fd2_1002    conda-forge
graphite2                 1.3.13            hf484d3e_1000    conda-forge
gst-plugins-base          1.14.5               h0935bb2_2    conda-forge
gstreamer                 1.14.5               h36ae1b5_2    conda-forge
